""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"CFH"	337.231914388899	-10.8789055700964	1.182761138103	-9.19788892247916	3.65050863328907e-20	9.05464370298258e-19
"DBNDD1"	502.754321110533	-1.05698370898939	0.104343727966136	-10.1298250464314	4.07377676276315e-24	1.28462137698424e-22
"USH1C"	8.21091929942352	-3.00083002063748	0.919329750233921	-3.26414980030172	0.00109793098912718	0.00388372201382222
"CAMK1G"	5.95832436346753	-2.41188928921162	0.877126526557142	-2.7497621109222	0.0059638544039651	0.0172962579624756
"TENM1"	4.60838354335451	-2.74066920134171	0.977206789208002	-2.80459492464532	0.00503798504725513	0.0148989128906205
"SEMA3G"	86.767380436257	-1.04184826208124	0.239960778382991	-4.34174396791791	1.41356200327854e-05	7.57034103296259e-05
"DCN"	761.466918942769	-3.12003621888944	0.131336989250676	-23.7559596629278	9.53470122683337e-125	4.90730640642484e-122
"CD22"	18.0724056160252	-2.44419841604083	0.547322445842481	-4.46573758231043	7.9793367399715e-06	4.4363511481377e-05
"CNTN1"	3.78157018013749	-5.60628465466726	1.42193191192106	-3.94272370404365	8.05614470555693e-05	0.000369971642293757
"CYP24A1"	18.7204241324623	-1.12188238299478	0.448295976476159	-2.50254840967648	0.0123302761523286	0.0327180279195741
"GABRA1"	5.25450917112055	-3.91038248119663	1.20394245320647	-3.24798122267563	0.00116226940572974	0.00408922470848908
"DEF6"	6.22977345369382	-1.96097971000328	0.81731346530274	-2.39929940378129	0.0164264772887524	0.041971979469541
"PRKCH"	37.5366901009881	-1.38269905956577	0.336738246886575	-4.10615388168694	4.02301529282402e-05	0.000197129117255651
"SH2D2A"	274.434602070853	-1.02342406368387	0.124811118946355	-8.19978277835767	2.40821790787826e-16	4.5306564321715e-15
"ANK1"	75.2950573464271	-1.58301404318444	0.235474994257147	-6.72264181671762	1.7845890163757e-11	2.15031039422995e-10
"EPHA3"	1.96548626409387	-5.55837518289818	1.67516219939497	-3.31811163414847	0.00090628255506093	0.00327354244563969
"GPM6B"	139.798009302344	-5.48607273292474	0.47611351357876	-11.5226150412915	1.01483510750371e-30	4.73294133794043e-29
"CP"	51.3043605151338	-1.03238456785642	0.324749656289405	-3.17901666056391	0.00147775597036097	0.00505962016841814
"ARHGAP6"	11.6090272661989	-2.51207263305717	0.738327109906007	-3.4023843894571	0.000668006110740009	0.00249588697481832
"ROS1"	23.109529186444	1.52899447575619	0.375074713507262	4.07650641510544	4.57173948214713e-05	0.000221680140232915
"HDAC9"	39.7219288199674	-1.64544338820602	0.360469246734056	-4.56472612605419	5.00146842662764e-06	2.88535474364015e-05
