""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PDK4"	3175.3526042154	1.22258942065926	0.0677448162260076	18.0469811384609	8.33222690988623e-73	3.18730824377898e-70
"PON1"	17.3778255128242	1.69693499974074	0.455018900485854	3.72937255557695	0.000191957163213182	0.000918499685409566
"WDR54"	151.883208669781	-2.1075404574248	0.170864594308116	-12.3345650745193	5.90066734067847e-35	5.80414928203451e-33
"DCN"	761.466918942769	1.93670864614221	0.0718388066361764	26.9590871122145	4.46354338708565e-160	6.14674559835565e-157
"NPC1L1"	24.6757484204325	1.01374818772265	0.338179399405999	2.99766393075173	0.00272057498040815	0.00943941497989434
"CNTN1"	3.78157018013749	-3.85119844199638	1.31373420901244	-2.93148980636761	0.00337340437045762	0.0113749146879461
"GPM6B"	139.798009302344	1.81978051843205	0.141359682633904	12.8734055179294	6.35376842755166e-38	7.29147875131783e-36
"ROS1"	23.109529186444	1.70167704501731	0.371648012499922	4.57873306941919	4.6780071886381e-06	3.12722509683181e-05
"LTBP1"	289.176550913782	-4.196039365311	0.163235630471338	-25.7054134149209	1.01683859836481e-145	1.16690702817348e-142
"KCNQ1"	49.5047474337473	1.21175229868688	0.263185744147126	4.60417148585937	4.14111137179568e-06	2.79545317161757e-05
"TRAF1"	104.477949783637	1.07175585451689	0.178284377820646	6.01149617043325	1.83818855238401e-09	2.17098581088167e-08
"CDK14"	51.2349761204494	-5.88185856957671	0.466206792158724	-12.6164154373242	1.71449278016138e-36	1.83025426942654e-34
"CREB3L3"	12.1329664942084	2.59736003960892	0.591499275991965	4.39114660834208	1.12754478444686e-05	7.07077378261281e-05
"MRPS24"	28.9090391468634	1.28349439320198	0.341681152399896	3.75640969420462	0.000172368430048621	0.000835216625685982
"MYLK"	504.921750195008	-1.08783090974296	0.0893114412258342	-12.1801965662189	3.96325518373958e-34	3.66295215673005e-32
"SLC9A7"	11.1647524569378	-1.54164795974863	0.544842325171136	-2.82953046877259	0.00466163610662997	0.0151261524091426
"NEO1"	444.905888305553	-2.66298456581824	0.133442750107732	-19.9560078285882	1.32915964697957e-88	7.62660729106488e-86
"NAV3"	54.4419774697375	-1.48740688638255	0.309203020315733	-4.81045393691087	1.50587905710915e-06	1.10481941904369e-05
"SLC12A3"	2953.9114600668	-2.39171015878569	0.0671923745981276	-35.5949640579057	1.67624199884006e-277	5.77088214150661e-274
"NCK2"	14.5849722949599	-1.30645590916577	0.474938574671376	-2.75078921536273	0.00594518847794519	0.0186683786749244
"SLC6A15"	1.86333247967825	-5.684319157548	1.77916407180841	-3.19493814405225	0.00139860812859475	0.00530731125347983
"IRAG1"	5.28872100535351	3.51856778580569	0.944927668751098	3.72363716521937	0.000196373091926046	0.000936051868782823
"ABCB11"	4.71957484332593	5.02773906844218	1.38675976657941	3.62552995090391	0.000288369470273701	0.00131668964692942
"FAP"	149.523093808471	-1.73898583930098	0.172516897097973	-10.0800899422241	6.7664156450783e-24	3.45112258697679e-22
"TP73"	16.2136207791552	1.04530464252777	0.427190005937707	2.44693140756714	0.01440782558308	0.0398413988161836
"RIMS1"	3576.69847048447	1.81001523627734	0.0421841599364632	42.9074619241807	0	0
"CXCL2"	696.2045302111	2.06582728991531	0.232591285972557	8.88179142772806	6.57921098034395e-19	2.20443587373033e-17
"PKP1"	2.16462703151822	3.48940477486411	1.38734248820683	2.51517185159826	0.011897437489069	0.0338208187764278
"FYB1"	141.838246792429	1.72130950334807	0.163236254153433	10.5448971019032	5.36315327991777e-26	3.18344757835119e-24
"NKAIN1"	6.34332635765199	1.99337053391774	0.715370000391106	2.78648885587587	0.00532824501351358	0.0169653785158603
"ABCB1"	24.1391910731036	-9.18329246873559	1.2331157784168	-7.4472264725426	9.53229081052662e-14	1.84886164439101e-12
"NID2"	13.7902939774943	1.45539843846421	0.548200099170392	2.65486715647573	0.00793396463489098	0.0239571871145938
"DNAAF9"	14.5377268820406	-1.54675488673564	0.434563032573055	-3.55933379233221	0.000371796743091492	0.00165161708035901
"P2RX7"	3.44469047601132	3.33998243363393	1.32063788451189	2.52906756106606	0.0114366010092912	0.0326614335335854
"SMPX"	14.2080311592236	2.07855077217298	0.626780511558872	3.31623388704827	0.000912394350248811	0.00363663751006552
"TBX15"	8.73956695852517	1.60740674943413	0.660109471706998	2.43506087752004	0.0148892844575059	0.0410080672528629
"GGT5"	6.13774096806358	-2.42044893202828	0.785023794436791	-3.08328097718976	0.00204731752220031	0.00737859450359082
"PTK6"	179.410233779172	-2.33052271723839	0.160386201906932	-14.5306933484885	7.74326909721085e-48	1.30039705777671e-45
"SLC52A3"	15.1781901307129	1.77923233649245	0.555589224828471	3.20242412376115	0.0013627619530293	0.0051812796397478
"SYTL4"	108.105009726841	-3.26274330338117	0.180214034860891	-18.1048235555001	2.91945277323603e-73	1.14867954686381e-70
"QPRT"	81.8832759526539	-1.92455228820626	0.238213957556532	-8.07909119997528	6.52512157076355e-16	1.55462714794091e-14
"RP1"	12.2831081925439	2.11612821116567	0.600179429814319	3.52582595478214	0.000422164309979969	0.00184676769781898
"NIPAL2"	108.656997649228	1.67562836601065	0.173022348719712	9.68446202707076	3.51051803251488e-22	1.59643682457044e-20
"TUSC3"	185.989721033107	3.18423704128523	0.147096586723712	21.6472530886532	6.45124977243176e-104	4.6757979271662e-101
"EBI3"	7.0308837850555	1.70687172018197	0.678551616661932	2.51546334614714	0.0118876037556555	0.0338022282302563
"PLEKHA4"	144.821729656689	-2.36249138160618	0.187026423032228	-12.6318588748237	1.40909657767665e-36	1.51598976337384e-34
"CFAP69"	22.4696528236605	-2.4484827473278	0.446603258848622	-5.48245606993594	4.19461180717276e-08	4.00027695267147e-07
"SERPINE1"	1388.37936932453	1.09361789261756	0.0827859307726244	13.2101902148232	7.66305398109644e-40	9.59344694306174e-38
"AGR2"	1310.4610138266	1.21365314341487	0.0569973634246623	21.2931453402936	1.31405787357423e-100	9.04794548849538e-98
"CA9"	149.038275860951	-2.10669154070465	0.424832735090907	-4.9588729085433	7.09033309084614e-07	5.55093672507346e-06
"GLIS3"	133.082570588468	-3.664592677886	0.330199032397366	-11.0981326967548	1.28092093475113e-28	8.73245653091967e-27
"CDH23"	3.31762087769204	-2.69265941640408	1.13677889555572	-2.36867470616417	0.017851946890918	0.047680209587826
"SORCS1"	33.4191699762787	3.74015759649461	0.383419434747651	9.75474182459273	1.76048045434501e-22	8.26598203305153e-21
"RGS9"	27.0643301152963	-1.34631670376903	0.425151022684513	-3.16667873751789	0.00154190557109041	0.0057705463035134
"RNF43"	157.39524226747	1.78548885302476	0.1383852864009	12.9023026902747	4.36845572746278e-38	5.05529443889831e-36
"RASD1"	17.701383711304	2.62142881182193	0.545188153648333	4.80830112371233	1.52218358437437e-06	1.11618690843554e-05
"ICAM2"	16.0554242597254	4.36245417540109	0.549163724746311	7.94381343635971	1.96058407437214e-15	4.49986721469645e-14
"ASIC2"	4.28458222324139	3.8365457660393	1.23123952393365	3.1160027691298	0.0018332055098035	0.00670341823566224
"FAM20A"	59.9498304610032	1.75582160003618	0.211674838771984	8.29489990507354	1.08676674991332e-16	2.81843030377709e-15
"MAPK10"	15.8195696822895	1.10668484701986	0.457942197890918	2.4166474548901	0.015664180284893	0.042799886250647
"INPP4B"	13.4451584370832	1.26359643167339	0.485819091429007	2.60096083905759	0.00929630653348319	0.0274190270448912
"ANXA10"	23.1902051507252	1.66600928802241	0.38323864016676	4.34718505236705	1.37895871862989e-05	8.51171694946312e-05
"ARFGEF3"	34.5039916128828	-1.91981510894879	0.277785424138458	-6.91114414985246	4.80760214392732e-12	7.85355742870974e-11
"SPARC"	27.8649276810427	-1.30179993123791	0.36529099149154	-3.56373401359409	0.000365616446217078	0.00162788378856196
"BCHE"	36.6115911179384	-6.57525748305587	0.764564012458533	-8.60000912403981	7.97097620155194e-18	2.34547677930709e-16
"COL7A1"	1291.50110482711	1.13242516157134	0.147795780172643	7.66209400734269	1.82925657999823e-14	3.77671549672498e-13
